date,e0,e_end,plan_cost,adj_purchase_cost,breach_cost,uplift_cost,adj_cost,em_cost,total_cost,plan_kWh,adj_kWh,dev_kWh,over_kWh,under_kWh,em_kWh,curt_kWh
2025-05-08,1428.526394138888,1574.9709677870367,37974.50403218005,37536.1577268397,597.049995214842,377.87684254466933,974.9268377595114,889.4240762733299,39400.50864087255,62161.48022395061,60661.22122093963,3131.611360960218,815.6761789746242,2315.9351819855938,135.9144370833328,988.7054084567901
2025-05-09,1574.9709677870367,1564.5335989444445,10441.924713536551,11209.02782385313,4.742206085000027,388.29376124328894,393.03596732828896,3154.990056841586,14757.053848023006,25826.579561714672,26828.570679395234,1035.2522510138895,1018.6216843472226,16.63056666666686,636.3463512083342,16511.14809947531
2025-05-10,1564.5335989444445,1218.247532212963,10854.599171102123,11161.883045024191,8.829677729712178e-15,153.64193696103382,153.64193696103382,2392.0341242707514,13707.559106255976,26255.093994391285,26774.39399591906,519.3000015277763,519.3000015277762,7.579122514774402e-14,653.9018505,13190.094345493824
2025-05-11,1218.247532212963,1529.9457035092594,36807.4768184582,37076.79761155563,271.55607496964404,406.2164715183595,677.7725464880036,1633.5488575803238,39388.11901562396,60437.03051450273,60162.07918110767,2116.159913230458,920.6042899177006,1195.5556233127572,238.40104944166774,844.2241301303168
2025-05-12,1529.9457035092594,1974.6387146419754,33091.70292120262,36127.73121815349,226.3570051296688,1744.3711536051037,1970.7281587347725,0.0,38098.45937688826,52244.30985372084,56987.099335052466,6491.1732095620755,5616.981345446849,874.1918641152266,0.0,1398.9610595301813
2025-05-13,1974.6387146419754,1774.1292274135806,37118.09483608045,35955.246771033606,1137.3570758107123,555.9330432872924,1693.2901190980047,0.0,37648.53689013161,61476.50712706447,58449.98466344496,5675.794895859222,1324.6362161198563,4351.158679739367,0.0,2009.346445953368
2025-05-14,1774.1292274135806,1457.6921452592605,36225.69211811341,35859.21543912952,1070.0066324880372,886.7682929960912,1956.7749254841283,0.0,37815.99036461365,58618.489061358014,58100.46969782973,7130.304209270067,3306.142422870892,3824.1617863991746,0.0,1819.2318922393715
2025-05-15,1457.6921452592605,1899.3966716203718,36468.246815740174,36151.05887181264,856.6381741785692,698.0442022147982,1554.6823763933676,0.0,37705.741248206,57457.252278103566,58363.29277335143,5364.992166907682,3135.5163310777757,2229.4758358299064,0.0,1473.937744715361
2025-05-16,1899.3966716203718,1417.6804777777747,11149.760056902312,10865.175543839621,208.95506811361116,66.66281158226646,275.6178796958776,0.0,11140.793423535499,26277.471425174997,25931.57771238333,806.4708538750003,230.28857054166684,576.1822833333335,0.0,21339.32734708145
2025-05-17,1417.6804777777747,1261.6322378425928,11124.844052846483,11325.738021337162,39.11634523277788,139.56332947811777,178.67967471089565,1584.1039075920592,13088.521603640118,26467.491099602194,26714.437188129978,495.84970519445125,371.39789686111754,124.4518083333337,332.658412777775,14406.211696008337
2025-05-18,1261.6322378425928,1480.550687740742,37767.699478626295,35815.89200705181,1009.4736952830762,33.56995949583482,1043.0436547789109,34.428465000000074,36893.36412683072,62465.31722512307,59027.78493745161,3551.116621004806,56.79216666666896,3494.324454338137,5.236666666666679,1451.032486683812
2025-05-19,1480.550687740742,1520.0211576296306,33653.712888682305,33369.530993339526,478.62932335598646,336.5383756845986,815.167699040585,557.8644954069432,34742.563187787055,55605.60150970164,53632.95664970165,3621.0641027777824,824.2096213888914,2796.854481388891,80.25851417499962,2680.314873309332
2025-05-20,1520.0211576296306,1393.2965718796302,33546.77526317455,35648.1612885202,7.83362810185813,1058.5266407746778,1066.3602688765359,1825.789543294663,38540.31110069139,55025.711719609055,58637.072468804814,3675.022903619648,3643.191826407709,31.831077211938766,275.5742688333328,937.861660709877
2025-05-21,1393.2965718796302,1304.8976250802464,32393.579067346156,35607.922436522844,76.38760452824953,1683.5592891165893,1759.9468936448388,0.0,37367.86933016768,51055.481452808635,56403.43808560688,6215.4803977982465,5781.718515298249,433.76188249999734,0.0,1885.569828580242
2025-05-22,1304.8976250802464,2091.7858715716734,34123.0732970485,34580.056999865425,35.50154325382667,263.99339466229316,299.49493791611985,0.0,34879.55193778154,54760.67901142661,55942.13649505831,1291.8433712860046,1236.650427458845,55.19294382715975,0.0,765.2933656275727
2025-05-23,2091.7858715716734,2000.1553538888916,10595.634661064927,11282.42806174223,2.2138616865656026e-14,343.3967003386508,343.3967003386508,109.38656197925025,11735.211324060132,25634.145256418826,26691.554875779933,1057.4096193611113,1057.4096193611108,2.2737367544323206e-13,36.423084166666754,18042.236025833332
2025-05-24,2000.1553538888916,1616.6199263611118,11209.384720044309,11026.148203688477,146.67916214985948,55.06090397194326,201.74006612180273,274.8246592750004,11502.71292908528,26046.59283066666,25845.802514549992,575.4321505499973,187.32091721666694,388.1112333333304,91.39390583333348,20244.303432160494
2025-05-25,1616.6199263611118,1654.69948307407,34267.577720748945,34339.31038209282,475.60158784958327,511.46791852152614,987.0695063711094,0.0,35326.37988846393,55634.201102181054,54856.827372306274,3783.0312956807616,1502.8287829029844,2280.202512777777,0.0,3012.645896834702
2025-05-26,1654.69948307407,1783.3572658148141,33228.10816093268,36844.35250245959,0.0,1808.1221707634522,1808.1221707634522,0.0,38652.47467322304,53635.87851261317,59655.03412065912,6019.155608045946,6019.155608045946,0.0,0.0,1583.3633256556886
2025-05-27,1783.3572658148141,1418.453833398148,31526.1991986311,33949.6672589072,0.0,1211.7340301380475,1211.7340301380475,1692.6018612253908,36854.00315027063,49895.109920895055,55026.86342742839,5131.753506533334,5131.753506533334,0.0,313.00960861110707,3112.1785811865593
2025-05-28,1418.453833398148,1611.3228397376558,35658.027793325426,35518.43581916203,523.90179346318,454.1058063814837,978.0075998446637,0.0,36496.44341900669,58589.995332184495,57616.734063580254,3444.226076395755,1235.4824038957565,2208.743672499999,0.0,1496.8307939334777
2025-05-29,1611.3228397376558,1877.4206632129635,35135.83580055676,37514.236431607744,350.8810403727083,1540.0813558982009,1890.9623962709093,589.8041326393551,39995.00296051802,57324.89427919067,60272.48090781845,6379.747578627781,4663.66710362778,1716.080475,87.63319550000324,2300.4803976680405
