date,slot,P_plan_kW,P_adj_kW,P_ch_kW,P_dis_kW,P_em_kW,P_curt_kW,E_kWh,load_forecast_kW,pv_forecast_kW,load_actual_kW,pv_actual_kW,price
2025-02-01,13,3032.328626666667,3032.328626666667,88.963126666667,0.0,0.0,0.0,9410.15095705247,3032.328626666667,0.0,2943.3655,0.0,0.4324
2025-02-01,14,3049.7875000000004,3049.7875000000004,30.4675000000002,0.0,0.0,0.0,9423.49542605247,3049.7875000000004,0.0,3019.32,0.0,0.4367
2025-02-01,15,3052.9553599999995,3052.9553599999995,208.51845999999932,0.0,0.0,0.0,9428.06555105247,3052.9553599999995,0.0,2844.4369,0.0,0.4348
2025-02-01,16,3087.1727450000003,3087.1727450000003,318.86634500000036,0.0,0.0,0.0,9459.34332005247,3087.1727450000003,0.0,2768.3064,0.0,0.4335
2025-02-01,17,3254.6170000000006,3254.6170000000006,392.96700000000055,0.0,0.0,0.0,9507.17327180247,3254.6170000000006,0.0,2861.65,0.0,0.4357
2025-02-01,18,3204.1133650000006,3204.1133650000006,303.7160650000005,0.0,0.0,0.0,9566.11832180247,3204.1133650000006,0.0,2900.3973,0.0,0.4374
2025-02-01,19,3132.8561999999997,3132.8561999999997,213.24469999999974,0.0,0.0,0.0,9611.67573155247,3132.8561999999997,0.0,2919.6115,0.0,0.4371
2025-02-01,20,3070.9835,3070.9835,77.89349999999968,0.0,0.0,0.0,9643.66243655247,3070.9835,0.0,2993.09,0.0,0.4356
2025-02-01,21,3049.3085749999996,3049.3085749999996,0.0,60.54982500000051,0.0,0.0,9655.34646155247,3049.3085749999996,0.0,3109.8584,0.0,0.4353
2025-02-01,22,3116.1202700000003,3116.1202700000003,61.319470000000365,0.0,0.0,0.0,9644.133530996914,3116.1202700000003,0.0,3054.8008,0.0,0.436
2025-02-01,23,3269.5330000000004,3269.5330000000004,367.83300000000054,0.0,0.0,0.0,9653.331451496915,3269.5330000000004,0.0,2901.7,0.0,0.4378
2025-02-01,24,3297.523485,3297.523485,350.402685,0.0,0.0,0.0,9708.506401496916,3297.523485,0.0,2947.1208,0.0,0.4401
2025-02-01,25,3231.9058199999995,3231.9058199999995,204.03411999999935,0.0,0.0,0.0,9761.066804246915,3231.9058199999995,0.0,3027.8717,0.0,0.4389
2025-02-01,26,3200.1105,3200.1105,166.64049999999997,0.0,0.0,0.0,9791.671922246915,3200.1105,0.0,3033.47,0.0,0.4364
2025-02-01,27,3326.165915,3326.165915,306.780115,0.0,0.0,0.0,9816.667997246914,3326.165915,0.0,3019.3858,0.0,0.4393
2025-02-01,28,3325.2043649999996,3325.2043649999996,308.12386499999957,0.0,0.0,0.0,9862.685014496914,3325.2043649999996,0.0,3017.0819,0.0014,0.4422
2025-02-01,29,3216.791,3216.791,218.94100000000026,0.0,0.0,0.0,9908.903594246915,3216.791,0.0,2997.85,0.0,0.4395
2025-02-01,30,3301.9225500000002,3301.9225500000002,369.2210500000001,0.0,0.0,0.0,9941.744744246915,3301.9225500000002,0.0,2932.7015,0.0,0.4333
2025-02-01,31,3369.054865,3369.054865,377.96226499999966,0.0,0.0,0.0,9997.127901746915,3369.054865,0.0,2991.1125,0.0199,0.4439
2025-02-01,32,8352.4455,8352.4455,4974.518390020567,0.0,0.0,202.58710997943308,10053.822241496915,3352.4455000000003,0.0,3175.34,0.0,0.4301
2025-02-01,33,8382.530784999999,8382.530784999999,0.0,0.0,0.0,5098.068884999999,10800.0,3382.530785,0.0,3284.4619,0.0,0.3713
