date,e0,e_end,plan_cost,em_cost,total_cost,plan_kWh,em_kWh,stochastic_obj
2025-04-03,1200.0,1200.0,38070.212804106675,807.2881813701442,38877.50098547682,63547.73659555115,371.9316555555568,39298.03496885169
2025-04-04,1200.0,1200.0,14034.045801595934,0.0,14034.045801595934,27833.416452818878,0.0,14205.114506761856
2025-04-05,1200.0,1200.0,14189.559226989124,183.43712540458043,14372.996352393704,28123.35102253498,89.06564429166531,14324.658322096728
2025-04-06,1200.0,1200.0,36215.73837265208,0.0,36215.73837265208,60246.204372201304,0.0,37285.2977887355
2025-04-07,1200.0,1200.0,36230.83802316924,0.0,36230.83802316924,60210.22031869341,0.0,37194.4173738492
2025-04-08,1200.0,1200.0,36930.69761752759,1451.367870485012,38382.0654880126,61590.739033995895,450.2251293240647,38018.788231629194
2025-04-09,1200.0,1200.0,35842.24487207568,9113.994525121434,44956.23939719712,59517.784384016275,3801.0606109613545,36878.15008990716
2025-04-10,1200.0,1200.0,37535.5940478227,0.0,37535.5940478227,62710.91616080711,0.0,38787.75621592059
2025-04-11,1200.0,1200.0,13636.17785526295,82.17987027313936,13718.357725536089,27306.71993662673,39.54752878067621,13782.44448560901
2025-04-12,1200.0,1200.0,13785.68220709862,0.0,13785.68220709862,27539.065951626635,0.0,13915.21506749318
2025-04-13,1200.0,1200.0,34712.70805096331,2117.9048716149696,36830.61292257828,57718.04417217993,739.3433026775716,35720.09939118067
2025-04-14,1200.0,1200.0,34276.0548337479,313.0327148142278,34589.08754856212,56665.8087174563,143.948332758327,35105.98174716359
2025-04-15,1200.0,1200.0,35859.701287122334,0.0,35859.701287122334,59398.51344424691,0.0,36652.77431336093
2025-04-16,1200.0,1200.0,35210.91625191778,1705.293458459707,36916.20971037749,58855.23853998623,631.6810941631722,36115.593633410645
2025-04-17,1200.0,1200.0,35224.39267142659,0.0,35224.39267142659,58468.28161267011,0.0,36024.94971888442
2025-04-18,1200.0,1200.0,13210.021109113974,0.0,13210.021109113974,26664.967304630147,0.0,13476.181200425304
2025-04-19,1200.0,1200.0,13083.66295617261,0.0,13083.66295617261,26406.125297242066,0.0,13320.718389615486
2025-04-20,1200.0,1200.0,33761.64501275664,0.0,33761.64501275664,56400.96365640935,0.0,34065.02020267979
2025-04-21,1200.0,1200.0,33264.436222778524,180.6654185605042,33445.10164133903,55484.37331176925,85.76665916666866,33714.39390556098
2025-04-22,1200.0,1200.0,34158.00992199087,0.0,34158.00992199087,56766.84896228652,0.0,34563.25248831328
2025-04-23,1200.0,1200.0,34550.7313913211,0.0,34550.7313913211,58111.033503649174,0.0,34939.85673283695
2025-04-24,1200.0,1200.0,33569.108085204076,0.0,33569.108085204076,55870.255588373875,0.0,33983.53335187373
2025-04-25,1200.0,1200.0,12300.644209819671,84.00199595165856,12384.64620577133,25394.19227896142,39.68205862499618,12404.943816159106
2025-04-26,1200.0,1200.0,12340.798950490353,910.6335716811193,13251.432522171472,25344.411269305245,256.2383177881677,12440.72153158915
2025-04-27,1200.0,1200.0,32226.318683859325,2314.168538122829,34540.487221982155,53905.5926630429,560.1852128194383,32726.3679887051
2025-04-28,1200.0,1200.0,31743.73075054701,19070.547555646815,50814.278306193824,52691.50661375034,7958.853874178834,32130.89757291113
2025-04-29,1200.0,1200.0,32558.05056429831,555.8313259444501,33113.88189024276,53901.08693457099,145.79297497324987,34586.43940731749
2025-04-30,1200.0,1200.0,33398.82043821353,0.0,33398.82043821353,56284.92249388066,0.0,35624.09943560298
2025-05-01,1200.0,1200.0,31719.557345022622,14278.844691807291,45998.40203682991,52055.12562232515,3462.8014233024296,33693.73510874633
2025-05-02,1200.0,1200.0,12110.260439345084,15169.979999266721,27280.240438611807,24978.87540443776,3670.8483768410442,13332.242085248767
2025-05-03,1200.0,1200.0,13915.956668113497,3335.1962628613373,17251.152930974833,26802.65827964609,986.2759052294243,14948.459951994559
2025-05-04,1200.0,1200.0,36021.990460869674,434.19012309323676,36456.18058396291,58542.073467314425,209.9766445612137,38449.40792568537
2025-05-05,1200.0,1200.0,35771.91568194479,4744.167979460197,40516.083661404984,58494.09788357156,1799.3851232177994,38390.21194695915
2025-05-06,1200.0,1200.0,36053.79800519589,1009.6397800926093,37063.43778528849,58629.40721385002,462.8466921250023,37879.14111284859
2025-05-07,1200.0,1200.0,37143.970543855816,3480.6566940151833,40624.627237871,61522.026056391194,803.0626932965895,38843.67159468882
2025-05-08,1200.0,1200.0,37195.2828458837,261.7432616828085,37457.02610756651,59607.58809380214,44.54498231378193,38503.20494708797
2025-05-09,1200.0,1200.0,15566.178520608566,0.0,15566.178520608566,29004.998483200106,0.0,15898.60238789252
2025-05-10,1200.0,1200.0,15421.062011574151,0.0,15421.062011574151,28712.448814784468,0.0,15761.386502655043
2025-05-11,1200.0,1200.0,37705.00183997166,277.3610394583328,37982.36287942999,61158.41431049599,41.180716666666584,38750.32649378755
2025-05-12,1200.0,1200.0,38455.16316084303,0.0,38455.16316084303,63070.0298098683,0.0,39423.077944240424
2025-05-13,1200.0,1200.0,36199.29251987365,0.0,36199.29251987365,58445.70196343892,0.0,36880.41452875377
2025-05-14,1200.0,1200.0,36981.044728068766,0.0,36981.044728068766,60395.538633987366,0.0,37699.71152921496
2025-05-15,1200.0,1200.0,37007.59564102585,0.0,37007.59564102585,59509.42494872665,0.0,37722.79408290757
2025-05-16,1200.0,1200.0,15077.77018606977,0.0,15077.77018606977,28232.05231614924,0.0,15742.742137063076
2025-05-17,1200.0,1200.0,14852.336709356114,0.0,14852.336709356114,27835.72864560236,0.0,15449.359820918486
2025-05-18,1200.0,1200.0,36448.544691658586,0.0,36448.544691658586,59565.84806150706,0.0,37085.72414682038
2025-05-19,1200.0,1200.0,36485.191691849475,451.3644216666677,36936.55611351614,59852.52240809568,66.92333333333347,37364.374233705785
2025-05-20,1200.0,1200.0,35712.2763078556,0.0,35712.2763078556,58372.93844920024,0.0,36551.678082649174
2025-05-21,1200.0,1200.0,35745.29928720655,1457.8785131114078,37203.17780031796,58660.95596413045,430.5305591493525,35988.67148330627
2025-05-22,1200.0,1200.0,36018.95755647757,0.0,36018.95755647757,58172.38352246784,0.0,36134.938239475596
2025-05-23,1200.0,1200.0,14450.549022717816,0.0,14450.549022717816,27276.527240754433,0.0,14804.740592158007
